epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,20254.3,2.17467,1.70561,2.78502,0.75026,0.69487,0.74595,0.57551,1.85668,3.16688,2.93608,0.004258,0.004258,0.004258
118,20426.4,2.17517,1.72137,2.78574,0.74984,0.69507,0.74634,0.576,1.85559,3.1652,2.93439,0.0042085,0.0042085,0.0042085
119,20599.1,2.17322,1.71239,2.7432,0.75468,0.69009,0.74707,0.57647,1.85447,3.16339,2.93267,0.004159,0.004159,0.004159
120,20771.2,2.12817,1.65428,2.7612,0.75539,0.69191,0.74792,0.57736,1.85284,3.16183,2.93097,0.0041095,0.0041095,0.0041095
121,20943.3,2.16307,1.71224,2.77858,0.7549,0.69225,0.74884,0.57806,1.85178,3.15994,2.92896,0.00406,0.00406,0.00406
122,21117.2,2.15646,1.64386,2.71997,0.75546,0.69431,0.74994,0.57873,1.85045,3.15844,2.92721,0.0040105,0.0040105,0.0040105
123,21290.9,2.15259,1.71731,2.77041,0.75584,0.69463,0.75065,0.57927,1.84983,3.15381,2.92596,0.003961,0.003961,0.003961
124,21465.1,2.17008,1.69444,2.77115,0.75219,0.69676,0.75133,0.57996,1.84882,3.14932,2.92439,0.0039115,0.0039115,0.0039115
125,21637.7,2.13068,1.66567,2.74485,0.75248,0.69781,0.7518,0.58044,1.84777,3.14782,2.92257,0.003862,0.003862,0.003862
126,21811.8,2.08872,1.59965,2.69789,0.75545,0.69631,0.7526,0.58111,1.84647,3.14544,2.92061,0.0038125,0.0038125,0.0038125
127,21983.6,2.09591,1.61783,2.71224,0.76045,0.69325,0.75306,0.58169,1.84508,3.14526,2.91901,0.003763,0.003763,0.003763
128,22155,2.10615,1.59888,2.70124,0.76445,0.69147,0.75357,0.58224,1.84341,3.14193,2.91748,0.0037135,0.0037135,0.0037135
129,22326.6,2.13752,1.64065,2.73377,0.76658,0.68869,0.75348,0.58243,1.84188,3.13697,2.9157,0.003664,0.003664,0.003664
130,22499.4,2.11532,1.58541,2.7054,0.76571,0.6906,0.75376,0.58272,1.84099,3.13384,2.91328,0.0036145,0.0036145,0.0036145
131,22673.6,2.12994,1.64834,2.73891,0.76575,0.69012,0.75421,0.58328,1.83961,3.13111,2.91061,0.003565,0.003565,0.003565
132,22847,2.09654,1.6092,2.7372,0.76176,0.69227,0.75457,0.58384,1.83891,3.12884,2.90802,0.0035155,0.0035155,0.0035155
133,23019.4,2.1052,1.63059,2.71807,0.76096,0.69414,0.7549,0.58417,1.83815,3.12692,2.907,0.003466,0.003466,0.003466
134,23192.1,2.10151,1.59115,2.70447,0.75923,0.69642,0.7554,0.58474,1.83688,3.12618,2.90507,0.0034165,0.0034165,0.0034165
135,23363.9,2.11941,1.58548,2.72466,0.7558,0.69891,0.75581,0.58513,1.83652,3.12376,2.90307,0.003367,0.003367,0.003367
136,23537.3,2.06437,1.55894,2.67947,0.75995,0.69594,0.75631,0.58553,1.83477,3.11974,2.90116,0.0033175,0.0033175,0.0033175
137,23710.1,2.11849,1.64847,2.78634,0.75749,0.69854,0.75653,0.58574,1.83256,3.11551,2.89938,0.003268,0.003268,0.003268
138,23883.9,2.09956,1.62023,2.72962,0.75567,0.69943,0.75652,0.58585,1.83184,3.11622,2.89685,0.0032185,0.0032185,0.0032185
139,24057.2,2.08659,1.61442,2.71465,0.75538,0.69937,0.75675,0.58623,1.83108,3.1152,2.89559,0.003169,0.003169,0.003169
140,24230.1,2.09239,1.56223,2.67303,0.75501,0.70151,0.75728,0.58666,1.82873,3.11733,2.89309,0.0031195,0.0031195,0.0031195
141,24402.6,2.08219,1.55065,2.68812,0.75528,0.70283,0.75781,0.58709,1.82906,3.11613,2.89219,0.00307,0.00307,0.00307
142,24576.2,2.09082,1.55473,2.68712,0.75628,0.70378,0.75822,0.58768,1.82763,3.11724,2.8898,0.0030205,0.0030205,0.0030205
143,24749,2.0971,1.63539,2.71899,0.75486,0.70543,0.75848,0.58804,1.82736,3.11769,2.88842,0.002971,0.002971,0.002971
144,24921.7,2.09859,1.56063,2.70861,0.75366,0.70724,0.75852,0.5884,1.82664,3.11651,2.8875,0.0029215,0.0029215,0.0029215
145,25095,2.07412,1.56716,2.69164,0.7509,0.70917,0.75885,0.58891,1.82639,3.11673,2.88814,0.002872,0.002872,0.002872
146,25268.5,2.06669,1.53927,2.68964,0.7502,0.70912,0.75923,0.58915,1.82636,3.11292,2.88645,0.0028225,0.0028225,0.0028225
147,25442.2,2.08463,1.55351,2.67407,0.75514,0.70637,0.75929,0.58916,1.82572,3.11094,2.88523,0.002773,0.002773,0.002773
148,25615.3,2.03887,1.54591,2.72121,0.75138,0.70749,0.75936,0.5894,1.82353,3.11718,2.88371,0.0027235,0.0027235,0.0027235
149,25788.1,2.05308,1.50656,2.68135,0.74941,0.71099,0.75947,0.58955,1.82329,3.11549,2.8821,0.002674,0.002674,0.002674
150,25961.6,2.0325,1.53491,2.67418,0.74996,0.71148,0.75945,0.58969,1.82199,3.11534,2.88121,0.0026245,0.0026245,0.0026245
151,26135.8,2.05163,1.50848,2.6773,0.74931,0.71267,0.7598,0.59017,1.82103,3.11422,2.87957,0.002575,0.002575,0.002575
152,26307.6,2.05071,1.50917,2.7168,0.75081,0.71209,0.75972,0.59036,1.82015,3.11284,2.87847,0.0025255,0.0025255,0.0025255
